,enc,type,count
804,1814,Mode,10
805,2928,TaskID,10
806,1828,ModuleType,10
807,3695,httputil.HTTPMessageDelegate,10
808,3563,argparse._SubParsersAction,10
809,907,Dtype,10
810,128,"""""""Optional[Type[BaseException]]""""""",10
811,2038,Optional[Exception],10
812,558,"Callable[[list], None]",10
813,3890,tp.List[int],10
814,319,AnyCallable,10
815,822,"Dict[str, Dict]",10
816,2017,"Optional[Dict[str, bool]]",10
817,3886,tp.Iterable[tp.Any],10
818,2363,Optional[mx.sym.Symbol],10
819,668,Controller,10
820,2859,SplitterReturnType,10
821,1587,List[State],10
822,217,"""""""URL""""""",10
823,3041,"Tuple[List[Tuple], Optional[List[spark.Column]], bool, Optional[Tuple]]",10
824,3373,"Union[str, Callable]",10
825,1105,Greenlet,10
826,3381,"Union[str, Pattern]",10
827,705,DataLoader,10
828,3254,"Union[Callable, Set[str], str]",10
829,3891,tp.List[p.Parameter],10
830,2031,Optional[Element],10
831,1964,"Optional[Callable[[Post], bool]]",10
832,2729,Self,10
833,845,"Dict[str, Optional[str]]",10
834,3311,"Union[Structure, Molecule]",10
835,3056,"Tuple[Tensor, Tensor, List[Tensor]]",10
836,305,AdditionalHash,10
837,2091,Optional[List[Any]],10
838,2836,SimulatedGoogle,10
839,2442,Pattern[str],10
840,1014,FixtureSmartContracts,10
841,2923,TableT,10
842,244,"""""""ks.DataFrame""""""",10
843,753,"Dict['core.Edge', 'state.State']",10
844,2064,Optional[Hashable],10
845,2717,SecretRegistryAddress,10
846,3340,"Union[float, Tuple[float, float]]",10
847,1579,List[Slice],10
848,2379,Optional[torch.device],10
849,1121,HTTPRequest,10
850,981,ExtractorFnType,10
851,493,"Callable[..., HttpResponse]",10
852,736,Dependant,10
853,3738,metrics.Client,10
854,1210,InstanceSampler,10
855,425,Baseplate,10
856,1203,InitiatorTransferState,10
857,3518,_HandlerType,10
858,2664,RouteState,10
859,3768,np.recarray,10
860,3137,"Tuple[str, str, str]",10
861,594,Ciphertext,10
862,3492,X,10
863,1309,Iterator[str],10
864,3793,pluginhandler.PluginHandler,10
865,1161,IDM,10
866,2896,SuccessOrError,10
867,849,"Dict[str, Set[str]]",10
868,366,AttentionLoopState,10
869,1948,Optional[Axis],10
870,3820,spark.Column,10
871,390,BalanceProofSignedState,10
872,770,"Dict[QueueIdentifier, List[Message]]",10
873,2686,SafeLineLoader,10
874,365,Attendable,10
875,1792,MessageID,9
876,3151,TypeInfo,9
877,477,Cache,9
878,465,BoundsInput,9
879,2279,"Optional[Union[float, datetime.timedelta]]",9
880,286,AbstractSet[int],9
881,2382,Optional[type],9
882,974,ExtensionArray,9
883,3156,Type['Model'],9
884,2386,Optional[tzinfo],9
885,2394,OrderedDict,9
886,934,Entry,9
887,888,DiscoveryInfoType,9
888,3244,"Union[Any, Tuple]",9
889,2634,RequestHandler,9
890,3265,"Union[Criterion, T]",9
891,3197,Type[Self],9
892,1012,FirmataPinType,9
893,3271,"Union[Dict, Tuple]",9
894,499,"Callable[..., str]",9
895,3229,Union['PublicKey'],9
896,3224,"Union['DataFrame', 'Series']",9
897,312,AggFuncType,9
898,398,BaseDBAsyncClient,9
899,503,"Callable[[Any], None]",9
900,1876,NonSourceCompiledNode,9
901,2132,Optional[Message],9
902,1177,IT,9
903,194,"""""""SparseArray""""""",9
904,3432,V1Secret,9
905,1950,Optional[BaseDBAsyncClient],9
906,188,"""""""Size""""""",9
907,3457,ViewMocks,9
908,1841,"MutableMapping[str, Any]",9
909,799,"Dict[int, str]",9
910,1170,IO[str],9
911,3516,_Deco,9
912,1027,Forecast,9
