,enc,type,count
741,737,"Tuple[Tensor, Tensor, Tensor]",12
742,521,Optional[TimeRange],11
743,524,"Optional[Tuple[str, str]]",11
744,456,NDArrayBackedExtensionArrayT,11
745,518,Optional[T],11
746,200,DefaultStat,11
747,431,MediaSourceItem,11
748,523,"Optional[Tuple[float, float]]",11
749,531,Optional[User],11
750,751,"Tuple[tf.Tensor, tf.Tensor]",11
751,462,NodeNetworkStateMap,11
752,729,TransitionResult[NettingChannelState],11
753,359,List[Address],11
754,986,typing.Type[BaseException],11
755,764,UiServer,11
756,719,TradeList,11
757,849,_WebHandler,11
758,679,SubmitExperimentMocks,11
759,203,Device,11
760,178,CreateUserMock,11
761,59,"""""""l1_block_model.L1BlockModel""""""",11
762,644,Set[Any],11
763,130,"Callable[[], Any]",11
764,223,"Dict[str, List[Dict[str, Any]]]",11
765,177,CountStat,11
766,149,CliStateMocks,11
767,576,PositiveSemidefiniteKernel,11
768,835,XKNX,11
769,451,MonitoringServiceAddress,11
770,287,GraphQLField,11
771,335,Iterable[DataEntry],11
772,289,GraphQLResolveInfo,11
773,48,"""""""Union[Type[Model], Model]""""""",11
774,585,Q,11
775,828,Web,11
776,398,List[Tuple],11
777,825,Vocab,11
778,616,SamplingState,11
779,333,Iterable[BlockHeaderAPI],11
780,565,PendingLocksState,11
781,471,Optional['DataFrame'],11
782,658,SimulationServer,11
783,70,AbstractSet[str],11
784,79,AgentT,11
785,610,Room,11
786,411,List[torch.Tensor],11
787,556,ParsedMacro,11
788,276,FolderFinder,11
789,730,TransportT,11
790,543,Optional[mx.nd.NDArray],11
791,68,AbstractRoute,11
792,739,"Tuple[ep.Tensor, ep.Tensor]",11
793,915,nodes,11
794,777,"Union[Sequence[Message], Message]",11
795,896,inspect.Signature,11
796,512,Optional[Response],11
797,648,"Set[Tuple[str, str]]",11
798,334,Iterable[Callable],10
799,695,TaskTiming,10
800,863,ast.ImportFrom,10
801,888,gen_typing.TestProvider,10
802,600,ReplyToArg,10
803,692,TaskArg,10
804,442,Mode,10
805,693,TaskID,10
806,449,ModuleType,10
807,890,httputil.HTTPMessageDelegate,10
808,856,argparse._SubParsersAction,10
809,244,Dtype,10
810,28,"""""""Optional[Type[BaseException]]""""""",10
811,494,Optional[Exception],10
812,132,"Callable[[list], None]",10
813,971,tp.List[int],10
814,83,AnyCallable,10
815,220,"Dict[str, Dict]",10
816,486,"Optional[Dict[str, bool]]",10
817,968,tp.Iterable[tp.Any],10
818,544,Optional[mx.sym.Symbol],10
819,173,Controller,10
820,664,SplitterReturnType,10
821,388,List[State],10
822,47,"""""""URL""""""",10
823,733,"Tuple[List[Tuple], Optional[List[spark.Column]], bool, Optional[Tuple]]",10
824,792,"Union[str, Callable]",10
825,292,Greenlet,10
826,799,"Union[str, Pattern]",10
827,190,DataLoader,10
828,771,"Union[Callable, Set[str], str]",10
829,972,tp.List[p.Parameter],10
830,493,Optional[Element],10
831,480,"Optional[Callable[[Post], bool]]",10
832,629,Self,10
833,225,"Dict[str, Optional[str]]",10
834,778,"Union[Structure, Molecule]",10
835,736,"Tuple[Tensor, Tensor, List[Tensor]]",10
836,75,AdditionalHash,10
837,502,Optional[List[Any]],10
838,656,SimulatedGoogle,10
839,561,Pattern[str],10
840,272,FixtureSmartContracts,10
841,689,TableT,10
842,55,"""""""ks.DataFrame""""""",10
843,206,"Dict['core.Edge', 'state.State']",10
844,497,Optional[Hashable],10
845,625,SecretRegistryAddress,10
846,783,"Union[float, Tuple[float, float]]",10
847,386,List[Slice],10
848,550,Optional[torch.device],10
849,294,HTTPRequest,10
850,261,ExtractorFnType,10
851,123,"Callable[..., HttpResponse]",10
852,202,Dependant,10
853,905,metrics.Client,10
854,324,InstanceSampler,10
855,106,Baseplate,10
856,320,InitiatorTransferState,10
857,841,_HandlerType,10
858,612,RouteState,10
859,920,np.recarray,10
860,749,"Tuple[str, str, str]",10
861,147,Ciphertext,10
862,834,X,10
863,342,Iterator[str],10
864,931,pluginhandler.PluginHandler,10
865,310,IDM,10
866,681,SuccessOrError,10
867,227,"Dict[str, Set[str]]",10
